Company_Name,Category,Address,Url
Sunshine Clinic,Medical clinic,"Sangaiprou Mamang Leikai, C/o MRF Tyres, Airport Road, Imphal West, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Sunshine+Clinic/data=!4m5!3m4!1s0x374926180a793b71:0xd793803d75c4215a!8m2!3d24.7820039!4d93.9153673?authuser=0&hl=en&rclk=1
Health Clinic,Medical clinic,"JVFR+J8G, Mayang Imphal, Manipur 795132, India",https://www.google.co.kr/maps/place/Health+Clinic/data=!4m5!3m4!1s0x37493066a1cd6561:0x1cdfc39bf41c0170!8m2!3d24.6240515!4d93.8908218?authuser=0&hl=en&rclk=1
Apollo Clinic,Medical clinic,"RW7G+6X4, Lalambung Makhong, Thangmeiband, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Apollo+Clinic/data=!4m5!3m4!1s0x374927b63c54315f:0xdcee9408a39ce427!8m2!3d24.8130172!4d93.9274577?authuser=0&hl=en&rclk=1
Dr bilashini home clinic,Medical clinic,"RWCM+HRM, Thangmeiband, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Dr+bilashini+home+clinic/data=!4m5!3m4!1s0x374927a1ac95addd:0x54a4632449ecbb24!8m2!3d24.8214674!4d93.9345411?authuser=0&hl=en&rclk=1
Surbina Physiotherapy Clinic,Medical clinic,"Keishampat Thokchom Leikai, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Surbina+Physiotherapy+Clinic/data=!4m5!3m4!1s0x3749264ceeecc657:0xa7774342efa16964!8m2!3d24.803276!4d93.9334223?authuser=0&hl=en&rclk=1
SAI CLINIC,Women's health clinic,"parking near, Thoubal, Manipur, India",https://www.google.co.kr/maps/place/SAI+CLINIC/data=!4m5!3m4!1s0x37493ca493fb90f7:0xa00d84d30bc23908!8m2!3d24.6446874!4d93.9965075?authuser=0&hl=en&rclk=1
Nazareth Clinic and Diagnostic Centre,Medical clinic,"Kabo Leika, Imphal, Manipur 795001, India",https://www.google.co.kr/maps/place/Nazareth+Clinic+and+Diagnostic+Centre/data=!4m5!3m4!1s0x37492709fb62d223:0xa94bac33bce59ba3!8m2!3d24.8222982!4d93.9473443?authuser=0&hl=en&rclk=1
Jandho Memorial Clinic,Medical clinic,"QWMP+5VH, Makha Leirak, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Jandho+Memorial+Clinic/data=!4m5!3m4!1s0x3749265d49e103a9:0x8003306b5b8a192b!8m2!3d24.7829277!4d93.9372414?authuser=0&hl=en&rclk=1
Public Health Clinic,Medical clinic,"Laitonjam Rd, Laitonjam Khori Leikai, Nambol Laitonjam, Manipur 795134, India",https://www.google.co.kr/maps/place/Public+Health+Clinic/data=!4m5!3m4!1s0x37492e8c144ae7af:0x15e9d56b897ca150!8m2!3d24.7199997!4d93.8411043?authuser=0&hl=en&rclk=1
ACME Fertility and Healcthcare Centre,Medical clinic,"Hiyang Hiren Leirak, Palace Compound, Manipur 795001, India",https://www.google.co.kr/maps/place/ACME+Fertility+and+Healcthcare+Centre/data=!4m5!3m4!1s0x374926fe1796a029:0x5820d5b8453eef49!8m2!3d24.8039629!4d93.9510763?authuser=0&hl=en&rclk=1
Shija Hospitals Info. Centre Thoubal,Medical clinic,"Ward Number 1, Wangmataba, Thoubal, Manipur 795138, India",https://www.google.co.kr/maps/place/Shija+Hospitals+Info.+Centre+Thoubal/data=!4m5!3m4!1s0x37493dfd03b5c1a7:0xa8c1bd428b75f3e1!8m2!3d24.6450452!4d93.9957562?authuser=0&hl=en&rclk=1
Shija Clinic,Hospital,"J2P3+Q63, Meira Paibi, Thoubal, Manipur 795138, India",https://www.google.co.kr/maps/place/Shija+Clinic/data=!4m5!3m4!1s0x37493c9607a50a1d:0xf841a33e307f8f72!8m2!3d24.6368793!4d94.0030387?authuser=0&hl=en&rclk=1
Langol View Clinic,Hospital,"Uripok, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Langol+View+Clinic/data=!4m5!3m4!1s0x374927c976764091:0x2c2a93f04663351d!8m2!3d24.8124895!4d93.9239594?authuser=0&hl=en&rclk=1
Neurocare,Physical therapy clinic,"Unnamed Road, Uripok, Imphal, Manipur 795004, India",https://www.google.co.kr/maps/place/Neurocare/data=!4m5!3m4!1s0x374927c322af639d:0x528d36a18fb5a28b!8m2!3d24.8079128!4d93.9280399?authuser=0&hl=en&rclk=1
